k;Nk;Pk;Logk;LokPk;;;
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;2633;38
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2572;84
;0;0;#¡NUM!;#¡NUM!;;1375;14
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1711;50
;0;0;#¡NUM!;#¡NUM!;;1726;6
;0;0;#¡NUM!;#¡NUM!;;1901;28
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;1911;24
;0;0;#¡NUM!;#¡NUM!;;1972;31
;0;0;#¡NUM!;#¡NUM!;;1992;10
;0;0;#¡NUM!;#¡NUM!;;2019;12
;0;0;#¡NUM!;#¡NUM!;;2053;39
;0;0;#¡NUM!;#¡NUM!;;2054;29
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2212;30
;0;0;#¡NUM!;#¡NUM!;;2222;10
;0;0;#¡NUM!;#¡NUM!;;2277;21
;0;0;#¡NUM!;#¡NUM!;;2353;20
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;1401;44
;0;0;#¡NUM!;#¡NUM!;;1403;3
;0;0;#¡NUM!;#¡NUM!;;1468;48
;0;0;#¡NUM!;#¡NUM!;;1512;19
;0;0;#¡NUM!;#¡NUM!;;1515;44
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1720;8
;0;0;#¡NUM!;#¡NUM!;;1724;26
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1873;9
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;1972;31
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;1989;23
;0;0;#¡NUM!;#¡NUM!;;1990;5
;0;0;#¡NUM!;#¡NUM!;;2035;20
;0;0;#¡NUM!;#¡NUM!;;2037;20
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2222;10
;0;0;#¡NUM!;#¡NUM!;;2305;10
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2529;46
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2578;49
;0;0;#¡NUM!;#¡NUM!;;2602;28
;0;0;#¡NUM!;#¡NUM!;;2607;18
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1495;38
;0;0;#¡NUM!;#¡NUM!;;1549;23
;0;0;#¡NUM!;#¡NUM!;;1622;56
;0;0;#¡NUM!;#¡NUM!;;1790;46
;0;0;#¡NUM!;#¡NUM!;;1817;41
;0;0;#¡NUM!;#¡NUM!;;1918;11
;0;0;#¡NUM!;#¡NUM!;;1944;68
;0;0;#¡NUM!;#¡NUM!;;2122;25
;0;0;#¡NUM!;#¡NUM!;;2320;47
;0;0;#¡NUM!;#¡NUM!;;2424;27
;0;0;#¡NUM!;#¡NUM!;;2508;22
;0;0;#¡NUM!;#¡NUM!;;2587;10
;0;0;#¡NUM!;#¡NUM!;;1691;42
;0;0;#¡NUM!;#¡NUM!;;2527;4
;0;0;#¡NUM!;#¡NUM!;;1432;14
;0;0;#¡NUM!;#¡NUM!;;1466;18
;0;0;#¡NUM!;#¡NUM!;;1467;10
;0;0;#¡NUM!;#¡NUM!;;1489;15
;0;0;#¡NUM!;#¡NUM!;;1821;17
;0;0;#¡NUM!;#¡NUM!;;2320;47
;0;0;#¡NUM!;#¡NUM!;;2424;27
;0;0;#¡NUM!;#¡NUM!;;2588;9
;0;0;#¡NUM!;#¡NUM!;;1844;4
;0;0;#¡NUM!;#¡NUM!;;1850;42
;0;0;#¡NUM!;#¡NUM!;;2039;54
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2300;11
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2578;49
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1641;32
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;1989;23
;0;0;#¡NUM!;#¡NUM!;;2035;20
;0;0;#¡NUM!;#¡NUM!;;2037;20
;0;0;#¡NUM!;#¡NUM!;;2048;11
;0;0;#¡NUM!;#¡NUM!;;2049;23
;0;0;#¡NUM!;#¡NUM!;;2080;23
;0;0;#¡NUM!;#¡NUM!;;2090;19
;0;0;#¡NUM!;#¡NUM!;;2293;11
;0;0;#¡NUM!;#¡NUM!;;2352;6
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2529;46
;0;0;#¡NUM!;#¡NUM!;;2594;44
;0;0;#¡NUM!;#¡NUM!;;2602;28
;0;0;#¡NUM!;#¡NUM!;;2605;15
;0;0;#¡NUM!;#¡NUM!;;2606;16
;0;0;#¡NUM!;#¡NUM!;;2607;18
;0;0;#¡NUM!;#¡NUM!;;2613;8
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1650;9
;0;0;#¡NUM!;#¡NUM!;;1719;1
;0;0;#¡NUM!;#¡NUM!;;1434;15
;0;0;#¡NUM!;#¡NUM!;;1436;10
;0;0;#¡NUM!;#¡NUM!;;1442;13
;0;0;#¡NUM!;#¡NUM!;;1478;8
;0;0;#¡NUM!;#¡NUM!;;1480;14
;0;0;#¡NUM!;#¡NUM!;;2336;20
;0;0;#¡NUM!;#¡NUM!;;1434;15
;0;0;#¡NUM!;#¡NUM!;;1436;10
;0;0;#¡NUM!;#¡NUM!;;1440;10
;0;0;#¡NUM!;#¡NUM!;;1478;8
;0;0;#¡NUM!;#¡NUM!;;1480;14
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;1898;9
;0;0;#¡NUM!;#¡NUM!;;2104;10
;0;0;#¡NUM!;#¡NUM!;;1817;41
;0;0;#¡NUM!;#¡NUM!;;1964;30
;0;0;#¡NUM!;#¡NUM!;;2320;47
;0;0;#¡NUM!;#¡NUM!;;1471;5
;0;0;#¡NUM!;#¡NUM!;;1531;31
;0;0;#¡NUM!;#¡NUM!;;1777;5
;0;0;#¡NUM!;#¡NUM!;;1786;32
;0;0;#¡NUM!;#¡NUM!;;1797;17
;0;0;#¡NUM!;#¡NUM!;;1817;41
;0;0;#¡NUM!;#¡NUM!;;1833;29
;0;0;#¡NUM!;#¡NUM!;;1836;7
;0;0;#¡NUM!;#¡NUM!;;1841;21
;0;0;#¡NUM!;#¡NUM!;;1962;58
