k;Nk;Pk;Logk;LokPk;;;
;0;0;#¡NUM!;#¡NUM!;;2508;22
;0;0;#¡NUM!;#¡NUM!;;2515;13
;0;0;#¡NUM!;#¡NUM!;;1681;9
;0;0;#¡NUM!;#¡NUM!;;1748;4
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1832;5
;0;0;#¡NUM!;#¡NUM!;;1835;9
;0;0;#¡NUM!;#¡NUM!;;1893;9
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;2035;20
;0;0;#¡NUM!;#¡NUM!;;2080;23
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2605;15
;0;0;#¡NUM!;#¡NUM!;;2622;9
;0;0;#¡NUM!;#¡NUM!;;1681;9
;0;0;#¡NUM!;#¡NUM!;;1832;5
;0;0;#¡NUM!;#¡NUM!;;1834;17
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2622;9
;0;0;#¡NUM!;#¡NUM!;;1962;58
;0;0;#¡NUM!;#¡NUM!;;2122;25
;0;0;#¡NUM!;#¡NUM!;;2320;47
;0;0;#¡NUM!;#¡NUM!;;2474;13
;0;0;#¡NUM!;#¡NUM!;;1410;13
;0;0;#¡NUM!;#¡NUM!;;1766;19
;0;0;#¡NUM!;#¡NUM!;;1844;4
;0;0;#¡NUM!;#¡NUM!;;1850;42
;0;0;#¡NUM!;#¡NUM!;;2124;15
;0;0;#¡NUM!;#¡NUM!;;2125;25
;0;0;#¡NUM!;#¡NUM!;;2143;19
;0;0;#¡NUM!;#¡NUM!;;2185;7
;0;0;#¡NUM!;#¡NUM!;;2218;7
;0;0;#¡NUM!;#¡NUM!;;2583;4
;0;0;#¡NUM!;#¡NUM!;;2182;31
;0;0;#¡NUM!;#¡NUM!;;1743;14
;0;0;#¡NUM!;#¡NUM!;;2465;6
;0;0;#¡NUM!;#¡NUM!;;1575;8
;0;0;#¡NUM!;#¡NUM!;;1717;38
;0;0;#¡NUM!;#¡NUM!;;1753;26
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1882;15
;0;0;#¡NUM!;#¡NUM!;;2213;5
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;2594;44
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;2306;33
;0;0;#¡NUM!;#¡NUM!;;1525;12
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1717;38
;0;0;#¡NUM!;#¡NUM!;;1753;26
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1833;29
;0;0;#¡NUM!;#¡NUM!;;1882;15
;0;0;#¡NUM!;#¡NUM!;;1990;5
;0;0;#¡NUM!;#¡NUM!;;2008;2
;0;0;#¡NUM!;#¡NUM!;;2112;17
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2168;43
;0;0;#¡NUM!;#¡NUM!;;2212;30
;0;0;#¡NUM!;#¡NUM!;;2213;5
;0;0;#¡NUM!;#¡NUM!;;2289;32
;0;0;#¡NUM!;#¡NUM!;;2317;4
;0;0;#¡NUM!;#¡NUM!;;2402;6
;0;0;#¡NUM!;#¡NUM!;;2411;4
;0;0;#¡NUM!;#¡NUM!;;2518;15
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2581;25
;0;0;#¡NUM!;#¡NUM!;;2607;18
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1846;2
;0;0;#¡NUM!;#¡NUM!;;2026;11
;0;0;#¡NUM!;#¡NUM!;;2076;6
;0;0;#¡NUM!;#¡NUM!;;2143;19
;0;0;#¡NUM!;#¡NUM!;;2262;20
;0;0;#¡NUM!;#¡NUM!;;2477;75
;0;0;#¡NUM!;#¡NUM!;;1845;9
;0;0;#¡NUM!;#¡NUM!;;1583;34
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;1651;11
;0;0;#¡NUM!;#¡NUM!;;1687;8
;0;0;#¡NUM!;#¡NUM!;;1753;26
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1841;21
;0;0;#¡NUM!;#¡NUM!;;2018;4
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;2429;8
;0;0;#¡NUM!;#¡NUM!;;2503;24
;0;0;#¡NUM!;#¡NUM!;;2523;42
;0;0;#¡NUM!;#¡NUM!;;2525;29
;0;0;#¡NUM!;#¡NUM!;;2548;53
;0;0;#¡NUM!;#¡NUM!;;2551;34
;0;0;#¡NUM!;#¡NUM!;;2571;33
;0;0;#¡NUM!;#¡NUM!;;1512;19
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1847;1
;0;0;#¡NUM!;#¡NUM!;;1912;35
;0;0;#¡NUM!;#¡NUM!;;1410;13
;0;0;#¡NUM!;#¡NUM!;;1711;50
;0;0;#¡NUM!;#¡NUM!;;1753;26
;0;0;#¡NUM!;#¡NUM!;;1775;12
;0;0;#¡NUM!;#¡NUM!;;1830;13
;0;0;#¡NUM!;#¡NUM!;;1838;15
;0;0;#¡NUM!;#¡NUM!;;1844;4
;0;0;#¡NUM!;#¡NUM!;;1889;4
;0;0;#¡NUM!;#¡NUM!;;1946;3
;0;0;#¡NUM!;#¡NUM!;;1968;20
;0;0;#¡NUM!;#¡NUM!;;2077;8
;0;0;#¡NUM!;#¡NUM!;;2125;25
;0;0;#¡NUM!;#¡NUM!;;2179;62
;0;0;#¡NUM!;#¡NUM!;;2185;7
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2220;13
;0;0;#¡NUM!;#¡NUM!;;2228;64
;0;0;#¡NUM!;#¡NUM!;;2231;6
;0;0;#¡NUM!;#¡NUM!;;2243;15
;0;0;#¡NUM!;#¡NUM!;;2244;34
;0;0;#¡NUM!;#¡NUM!;;2252;4
;0;0;#¡NUM!;#¡NUM!;;2360;23
;0;0;#¡NUM!;#¡NUM!;;2454;28
;0;0;#¡NUM!;#¡NUM!;;2491;26
;0;0;#¡NUM!;#¡NUM!;;2516;29
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2547;47
;0;0;#¡NUM!;#¡NUM!;;2556;25
;0;0;#¡NUM!;#¡NUM!;;2621;18
;0;0;#¡NUM!;#¡NUM!;;1516;18
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;1635;30
;0;0;#¡NUM!;#¡NUM!;;1917;19
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2079;37
;0;0;#¡NUM!;#¡NUM!;;2085;10
;0;0;#¡NUM!;#¡NUM!;;2149;46
;0;0;#¡NUM!;#¡NUM!;;2157;12
;0;0;#¡NUM!;#¡NUM!;;2267;84
;0;0;#¡NUM!;#¡NUM!;;2417;1
;0;0;#¡NUM!;#¡NUM!;;2444;22
;0;0;#¡NUM!;#¡NUM!;;2502;32
;0;0;#¡NUM!;#¡NUM!;;2535;36
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;2633;38
;0;0;#¡NUM!;#¡NUM!;;1475;4
;0;0;#¡NUM!;#¡NUM!;;1491;1
;0;0;#¡NUM!;#¡NUM!;;1519;1
;0;0;#¡NUM!;#¡NUM!;;1528;5
;0;0;#¡NUM!;#¡NUM!;;1616;1
;0;0;#¡NUM!;#¡NUM!;;1673;1
;0;0;#¡NUM!;#¡NUM!;;1721;1
;0;0;#¡NUM!;#¡NUM!;;1774;5
;0;0;#¡NUM!;#¡NUM!;;1787;11
;0;0;#¡NUM!;#¡NUM!;;1804;6
;0;0;#¡NUM!;#¡NUM!;;1861;4
;0;0;#¡NUM!;#¡NUM!;;1870;2
;0;0;#¡NUM!;#¡NUM!;;1882;15
;0;0;#¡NUM!;#¡NUM!;;1894;2
;0;0;#¡NUM!;#¡NUM!;;1909;5
;0;0;#¡NUM!;#¡NUM!;;1916;1
;0;0;#¡NUM!;#¡NUM!;;1932;3
;0;0;#¡NUM!;#¡NUM!;;1941;1
;0;0;#¡NUM!;#¡NUM!;;1988;16
;0;0;#¡NUM!;#¡NUM!;;2005;3
;0;0;#¡NUM!;#¡NUM!;;2027;1
;0;0;#¡NUM!;#¡NUM!;;2031;12
;0;0;#¡NUM!;#¡NUM!;;2093;1
;0;0;#¡NUM!;#¡NUM!;;2106;10
;0;0;#¡NUM!;#¡NUM!;;2172;5
;0;0;#¡NUM!;#¡NUM!;;2191;3
;0;0;#¡NUM!;#¡NUM!;;2193;22
;0;0;#¡NUM!;#¡NUM!;;2203;4
;0;0;#¡NUM!;#¡NUM!;;2271;3
;0;0;#¡NUM!;#¡NUM!;;2276;21
;0;0;#¡NUM!;#¡NUM!;;2286;9
;0;0;#¡NUM!;#¡NUM!;;2427;2
;0;0;#¡NUM!;#¡NUM!;;2472;3
;0;0;#¡NUM!;#¡NUM!;;2640;1
;0;0;#¡NUM!;#¡NUM!;;1535;9
;0;0;#¡NUM!;#¡NUM!;;1542;18
;0;0;#¡NUM!;#¡NUM!;;1768;23
;0;0;#¡NUM!;#¡NUM!;;2270;40
;0;0;#¡NUM!;#¡NUM!;;2279;27
;0;0;#¡NUM!;#¡NUM!;;2587;10
;0;0;#¡NUM!;#¡NUM!;;1516;18
;0;0;#¡NUM!;#¡NUM!;;2011;18
;0;0;#¡NUM!;#¡NUM!;;2400;18
;0;0;#¡NUM!;#¡NUM!;;2444;22
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;2177;24
;0;0;#¡NUM!;#¡NUM!;;2179;62
;0;0;#¡NUM!;#¡NUM!;;1542;18
;0;0;#¡NUM!;#¡NUM!;;2004;6
;0;0;#¡NUM!;#¡NUM!;;1581;17
;0;0;#¡NUM!;#¡NUM!;;2580;12
;0;0;#¡NUM!;#¡NUM!;;1553;7
;0;0;#¡NUM!;#¡NUM!;;1862;6
;0;0;#¡NUM!;#¡NUM!;;1864;7
;0;0;#¡NUM!;#¡NUM!;;1865;2
;0;0;#¡NUM!;#¡NUM!;;1867;8
;0;0;#¡NUM!;#¡NUM!;;2082;18
;0;0;#¡NUM!;#¡NUM!;;2315;13
;0;0;#¡NUM!;#¡NUM!;;2341;3
;0;0;#¡NUM!;#¡NUM!;;2540;58
;0;0;#¡NUM!;#¡NUM!;;2570;5
;0;0;#¡NUM!;#¡NUM!;;2311;13
;0;0;#¡NUM!;#¡NUM!;;2553;13
;0;0;#¡NUM!;#¡NUM!;;1862;6
;0;0;#¡NUM!;#¡NUM!;;1864;7
;0;0;#¡NUM!;#¡NUM!;;1867;8
;0;0;#¡NUM!;#¡NUM!;;2540;58
;0;0;#¡NUM!;#¡NUM!;;2544;30
;0;0;#¡NUM!;#¡NUM!;;2569;20
;0;0;#¡NUM!;#¡NUM!;;1862;6
;0;0;#¡NUM!;#¡NUM!;;1866;17
;0;0;#¡NUM!;#¡NUM!;;1867;8
;0;0;#¡NUM!;#¡NUM!;;1970;7
;0;0;#¡NUM!;#¡NUM!;;2412;7
;0;0;#¡NUM!;#¡NUM!;;2570;5
;0;0;#¡NUM!;#¡NUM!;;2596;6
;0;0;#¡NUM!;#¡NUM!;;1535;9
;0;0;#¡NUM!;#¡NUM!;;1558;3
;0;0;#¡NUM!;#¡NUM!;;1561;1
;0;0;#¡NUM!;#¡NUM!;;1660;30
;0;0;#¡NUM!;#¡NUM!;;1663;9
;0;0;#¡NUM!;#¡NUM!;;1664;5
;0;0;#¡NUM!;#¡NUM!;;1665;26
;0;0;#¡NUM!;#¡NUM!;;1706;1
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1828;37
;0;0;#¡NUM!;#¡NUM!;;1897;2
;0;0;#¡NUM!;#¡NUM!;;2051;17
;0;0;#¡NUM!;#¡NUM!;;2127;5
;0;0;#¡NUM!;#¡NUM!;;2168;43
;0;0;#¡NUM!;#¡NUM!;;2280;3
;0;0;#¡NUM!;#¡NUM!;;2294;4
;0;0;#¡NUM!;#¡NUM!;;2321;10
;0;0;#¡NUM!;#¡NUM!;;2348;13
;0;0;#¡NUM!;#¡NUM!;;2389;14
;0;0;#¡NUM!;#¡NUM!;;1694;23
;0;0;#¡NUM!;#¡NUM!;;1886;55
;0;0;#¡NUM!;#¡NUM!;;2149;46
;0;0;#¡NUM!;#¡NUM!;;2477;75
;0;0;#¡NUM!;#¡NUM!;;1680;22
;0;0;#¡NUM!;#¡NUM!;;1921;10
;0;0;#¡NUM!;#¡NUM!;;2327;10
;0;0;#¡NUM!;#¡NUM!;;1420;22
;0;0;#¡NUM!;#¡NUM!;;1495;38
;0;0;#¡NUM!;#¡NUM!;;1531;31
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1833;29
;0;0;#¡NUM!;#¡NUM!;;2052;19
;0;0;#¡NUM!;#¡NUM!;;2444;22
;0;0;#¡NUM!;#¡NUM!;;2508;22
;0;0;#¡NUM!;#¡NUM!;;2511;39
;0;0;#¡NUM!;#¡NUM!;;1670;3
;0;0;#¡NUM!;#¡NUM!;;1678;7
;0;0;#¡NUM!;#¡NUM!;;2144;1
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2532;31
;0;0;#¡NUM!;#¡NUM!;;1497;47
;0;0;#¡NUM!;#¡NUM!;;1717;38
;0;0;#¡NUM!;#¡NUM!;;1820;24
;0;0;#¡NUM!;#¡NUM!;;1903;33
;0;0;#¡NUM!;#¡NUM!;;2039;54
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2073;24
;0;0;#¡NUM!;#¡NUM!;;2214;30
;0;0;#¡NUM!;#¡NUM!;;2267;84
;0;0;#¡NUM!;#¡NUM!;;2416;27
;0;0;#¡NUM!;#¡NUM!;;2446;14
;0;0;#¡NUM!;#¡NUM!;;2490;12
;0;0;#¡NUM!;#¡NUM!;;2500;33
;0;0;#¡NUM!;#¡NUM!;;2572;84
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;2632;2
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;2149;46
;0;0;#¡NUM!;#¡NUM!;;2490;12
;0;0;#¡NUM!;#¡NUM!;;2500;33
;0;0;#¡NUM!;#¡NUM!;;2572;84
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;1515;44
;0;0;#¡NUM!;#¡NUM!;;2168;43
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2242;3
;0;0;#¡NUM!;#¡NUM!;;2366;7
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2594;44
;0;0;#¡NUM!;#¡NUM!;;2602;28
;0;0;#¡NUM!;#¡NUM!;;1517;8
;0;0;#¡NUM!;#¡NUM!;;2263;10
;0;0;#¡NUM!;#¡NUM!;;2374;57
;0;0;#¡NUM!;#¡NUM!;;1990;5
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;1717;38
;0;0;#¡NUM!;#¡NUM!;;1730;59
;0;0;#¡NUM!;#¡NUM!;;1797;17
;0;0;#¡NUM!;#¡NUM!;;1841;21
;0;0;#¡NUM!;#¡NUM!;;1958;32
;0;0;#¡NUM!;#¡NUM!;;2019;12
;0;0;#¡NUM!;#¡NUM!;;2079;37
;0;0;#¡NUM!;#¡NUM!;;2149;46
;0;0;#¡NUM!;#¡NUM!;;2157;12
;0;0;#¡NUM!;#¡NUM!;;2267;84
;0;0;#¡NUM!;#¡NUM!;;2444;22
;0;0;#¡NUM!;#¡NUM!;;2477;75
;0;0;#¡NUM!;#¡NUM!;;2492;35
;0;0;#¡NUM!;#¡NUM!;;2500;33
;0;0;#¡NUM!;#¡NUM!;;2535;36
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;2633;38
;0;0;#¡NUM!;#¡NUM!;;2237;48
;0;0;#¡NUM!;#¡NUM!;;1968;20
;0;0;#¡NUM!;#¡NUM!;;2587;10
;0;0;#¡NUM!;#¡NUM!;;2189;4
;0;0;#¡NUM!;#¡NUM!;;1589;1
;0;0;#¡NUM!;#¡NUM!;;1683;12
;0;0;#¡NUM!;#¡NUM!;;1690;15
;0;0;#¡NUM!;#¡NUM!;;1737;10
;0;0;#¡NUM!;#¡NUM!;;1773;18
;0;0;#¡NUM!;#¡NUM!;;1809;2
;0;0;#¡NUM!;#¡NUM!;;2306;33
;0;0;#¡NUM!;#¡NUM!;;1542;18
;0;0;#¡NUM!;#¡NUM!;;1698;87
;0;0;#¡NUM!;#¡NUM!;;2168;43
;0;0;#¡NUM!;#¡NUM!;;1835;9
;0;0;#¡NUM!;#¡NUM!;;2092;1
;0;0;#¡NUM!;#¡NUM!;;1366;7
;0;0;#¡NUM!;#¡NUM!;;2024;8
;0;0;#¡NUM!;#¡NUM!;;2054;29
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;1394;20
;0;0;#¡NUM!;#¡NUM!;;1577;5
;0;0;#¡NUM!;#¡NUM!;;1672;9
;0;0;#¡NUM!;#¡NUM!;;1679;20
;0;0;#¡NUM!;#¡NUM!;;1724;26
;0;0;#¡NUM!;#¡NUM!;;1849;9
;0;0;#¡NUM!;#¡NUM!;;2054;29
;0;0;#¡NUM!;#¡NUM!;;2090;19
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;2644;15
;0;0;#¡NUM!;#¡NUM!;;1711;50
;0;0;#¡NUM!;#¡NUM!;;1497;47
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1831;15
;0;0;#¡NUM!;#¡NUM!;;1880;28
;0;0;#¡NUM!;#¡NUM!;;1886;55
;0;0;#¡NUM!;#¡NUM!;;2039;54
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2079;37
;0;0;#¡NUM!;#¡NUM!;;2214;30
;0;0;#¡NUM!;#¡NUM!;;2259;2
;0;0;#¡NUM!;#¡NUM!;;2351;63
;0;0;#¡NUM!;#¡NUM!;;2440;21
;0;0;#¡NUM!;#¡NUM!;;2477;75
;0;0;#¡NUM!;#¡NUM!;;2479;16
;0;0;#¡NUM!;#¡NUM!;;2500;33
;0;0;#¡NUM!;#¡NUM!;;2502;32
;0;0;#¡NUM!;#¡NUM!;;2572;84
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;1507;15
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1905;8
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2605;15
;0;0;#¡NUM!;#¡NUM!;;1904;11
;0;0;#¡NUM!;#¡NUM!;;2054;29
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;1397;12
;0;0;#¡NUM!;#¡NUM!;;1690;15
;0;0;#¡NUM!;#¡NUM!;;1709;23
;0;0;#¡NUM!;#¡NUM!;;1724;26
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;1911;24
;0;0;#¡NUM!;#¡NUM!;;1996;5
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2215;38
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;2270;40
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2529;46
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2547;47
;0;0;#¡NUM!;#¡NUM!;;2602;28
;0;0;#¡NUM!;#¡NUM!;;2628;21
;0;0;#¡NUM!;#¡NUM!;;1675;8
;0;0;#¡NUM!;#¡NUM!;;1394;20
;0;0;#¡NUM!;#¡NUM!;;1397;12
;0;0;#¡NUM!;#¡NUM!;;1468;48
;0;0;#¡NUM!;#¡NUM!;;1499;20
;0;0;#¡NUM!;#¡NUM!;;1504;27
;0;0;#¡NUM!;#¡NUM!;;1515;44
;0;0;#¡NUM!;#¡NUM!;;1590;23
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1615;22
;0;0;#¡NUM!;#¡NUM!;;1627;21
;0;0;#¡NUM!;#¡NUM!;;1679;20
;0;0;#¡NUM!;#¡NUM!;;1711;50
;0;0;#¡NUM!;#¡NUM!;;1724;26
;0;0;#¡NUM!;#¡NUM!;;1735;20
;0;0;#¡NUM!;#¡NUM!;;1798;29
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1857;10
;0;0;#¡NUM!;#¡NUM!;;1879;10
;0;0;#¡NUM!;#¡NUM!;;1901;28
;0;0;#¡NUM!;#¡NUM!;;1904;11
;0;0;#¡NUM!;#¡NUM!;;1905;8
;0;0;#¡NUM!;#¡NUM!;;1906;34
;0;0;#¡NUM!;#¡NUM!;;1911;24
;0;0;#¡NUM!;#¡NUM!;;1993;45
;0;0;#¡NUM!;#¡NUM!;;2049;23
;0;0;#¡NUM!;#¡NUM!;;2053;39
;0;0;#¡NUM!;#¡NUM!;;2064;19
;0;0;#¡NUM!;#¡NUM!;;2067;22
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2277;21
;0;0;#¡NUM!;#¡NUM!;;2350;108
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2529;46
;0;0;#¡NUM!;#¡NUM!;;2530;13
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;2555;13
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;2644;15
;0;0;#¡NUM!;#¡NUM!;;1912;35
;0;0;#¡NUM!;#¡NUM!;;2579;63
;0;0;#¡NUM!;#¡NUM!;;1375;14
;0;0;#¡NUM!;#¡NUM!;;1382;2
;0;0;#¡NUM!;#¡NUM!;;1401;44
;0;0;#¡NUM!;#¡NUM!;;1468;48
;0;0;#¡NUM!;#¡NUM!;;1522;14
;0;0;#¡NUM!;#¡NUM!;;1523;7
;0;0;#¡NUM!;#¡NUM!;;1525;12
;0;0;#¡NUM!;#¡NUM!;;1564;19
;0;0;#¡NUM!;#¡NUM!;;1608;125
;0;0;#¡NUM!;#¡NUM!;;1641;32
;0;0;#¡NUM!;#¡NUM!;;1701;21
;0;0;#¡NUM!;#¡NUM!;;1720;8
;0;0;#¡NUM!;#¡NUM!;;1724;26
;0;0;#¡NUM!;#¡NUM!;;1893;9
;0;0;#¡NUM!;#¡NUM!;;1901;28
;0;0;#¡NUM!;#¡NUM!;;1906;34
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;1911;24
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;2035;20
;0;0;#¡NUM!;#¡NUM!;;2314;3
;0;0;#¡NUM!;#¡NUM!;;2350;108
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2539;43
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1735;20
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;2522;69
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;1526;25
;0;0;#¡NUM!;#¡NUM!;;1698;87
;0;0;#¡NUM!;#¡NUM!;;1707;3
;0;0;#¡NUM!;#¡NUM!;;1887;11
;0;0;#¡NUM!;#¡NUM!;;1996;5
;0;0;#¡NUM!;#¡NUM!;;2096;11
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;2373;10
;0;0;#¡NUM!;#¡NUM!;;2628;21
;0;0;#¡NUM!;#¡NUM!;;2521;22
;0;0;#¡NUM!;#¡NUM!;;1753;26
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;1530;88
;0;0;#¡NUM!;#¡NUM!;;1635;30
;0;0;#¡NUM!;#¡NUM!;;1636;36
;0;0;#¡NUM!;#¡NUM!;;1851;33
;0;0;#¡NUM!;#¡NUM!;;2149;46
;0;0;#¡NUM!;#¡NUM!;;2477;75
;0;0;#¡NUM!;#¡NUM!;;2615;38
;0;0;#¡NUM!;#¡NUM!;;2633;38
;0;0;#¡NUM!;#¡NUM!;;1762;45
;0;0;#¡NUM!;#¡NUM!;;1821;17
;0;0;#¡NUM!;#¡NUM!;;1829;3
;0;0;#¡NUM!;#¡NUM!;;1922;28
;0;0;#¡NUM!;#¡NUM!;;2588;9
;0;0;#¡NUM!;#¡NUM!;;1539;7
;0;0;#¡NUM!;#¡NUM!;;1711;50
;0;0;#¡NUM!;#¡NUM!;;1978;4
;0;0;#¡NUM!;#¡NUM!;;2363;26
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2612;7
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;2269;12
;0;0;#¡NUM!;#¡NUM!;;2327;10
;0;0;#¡NUM!;#¡NUM!;;1527;36
;0;0;#¡NUM!;#¡NUM!;;1549;23
;0;0;#¡NUM!;#¡NUM!;;1559;5
;0;0;#¡NUM!;#¡NUM!;;1625;9
;0;0;#¡NUM!;#¡NUM!;;1754;10
;0;0;#¡NUM!;#¡NUM!;;1762;45
;0;0;#¡NUM!;#¡NUM!;;1790;46
;0;0;#¡NUM!;#¡NUM!;;1817;41
;0;0;#¡NUM!;#¡NUM!;;1824;85
;0;0;#¡NUM!;#¡NUM!;;1829;3
;0;0;#¡NUM!;#¡NUM!;;1841;21
